Date,Open,High,Low,Close,Volume,Adj Close
1-9-2017,117.949997,119.43,117.940002,118.989998,33387600,118.989998
1-6-2017,116.779999,118.160004,116.470001,117.910004,31577900,117.910004
1-5-2017,115.919998,116.860001,115.809998,116.610001,22103700,116.610001
1-4-2017,115.849998,116.510002,115.75,116.019997,20858700,116.019997
1-3-2017,115.800003,116.330002,114.760002,116.150002,28509500,116.150002
